ensembl_gene_id	gene_biotype	external_gene_name
ENSMFAG00000031653	protein_coding	SMG7
ENSMFAG00000031793	protein_coding	SWT1
ENSMFAG00000031870	protein_coding	VAMP4
ENSMFAG00000031875	protein_coding	SHCBP1L
ENSMFAG00000031906	protein_coding	SERPINC1
ENSMFAG00000031925	protein_coding	MTR
ENSMFAG00000032037	protein_coding	
ENSMFAG00000032110	protein_coding	RGL1
ENSMFAG00000032316	protein_coding	PRRX1
ENSMFAG00000032349	protein_coding	EDEM3
ENSMFAG00000032508	protein_coding	
ENSMFAG00000032525	protein_coding	TPR
ENSMFAG00000032549	protein_coding	DESI2
ENSMFAG00000032577	protein_coding	TADA1
ENSMFAG00000032673	protein_coding	WDR64
ENSMFAG00000032681	protein_coding	UCK2
ENSMFAG00000032683	protein_coding	TRIM58
ENSMFAG00000032699	protein_coding	ADCY10
ENSMFAG00000032705	protein_coding	RASAL2
ENSMFAG00000032771	protein_coding	FAM78B
ENSMFAG00000032791	protein_coding	STX6
ENSMFAG00000032856	protein_coding	LGALS8
ENSMFAG00000032860	protein_coding	FMO4
ENSMFAG00000032956	protein_coding	ADSS
ENSMFAG00000033037	protein_coding	RGS13
ENSMFAG00000033041	protein_coding	RGS18
ENSMFAG00000033160	protein_coding	
ENSMFAG00000033168	protein_coding	
ENSMFAG00000033173	protein_coding	GGPS1
ENSMFAG00000033261	protein_coding	AKT3
ENSMFAG00000033280	protein_coding	
ENSMFAG00000033326	protein_coding	ZBTB18
ENSMFAG00000033358	protein_coding	ODR4
ENSMFAG00000033412	protein_coding	GNPAT
ENSMFAG00000033433	protein_coding	RGS2
ENSMFAG00000033470	protein_coding	
ENSMFAG00000033487	protein_coding	CATSPERE
ENSMFAG00000033596	protein_coding	CCSAP
ENSMFAG00000033722	protein_coding	KIAA1614
ENSMFAG00000033725	protein_coding	RC3H1
ENSMFAG00000033730	protein_coding	CFHR5
ENSMFAG00000033817	snRNA	RF00026
ENSMFAG00000033900	protein_coding	KLHL20
ENSMFAG00000033918	protein_coding	
ENSMFAG00000033997	protein_coding	LAMC1
ENSMFAG00000034008	misc_RNA	RF00019
ENSMFAG00000034067	protein_coding	
ENSMFAG00000034072	protein_coding	
ENSMFAG00000034136	protein_coding	COA6
ENSMFAG00000034260	protein_coding	NPL
ENSMFAG00000034332	protein_coding	RABGAP1L
ENSMFAG00000034556	protein_coding	
ENSMFAG00000034561	protein_coding	PCNX2
ENSMFAG00000034701	pseudogene	
ENSMFAG00000034742	misc_RNA	RF00019
ENSMFAG00000034794	miRNA	
ENSMFAG00000034812	protein_coding	GPR137B
ENSMFAG00000034820	snRNA	RF00026
ENSMFAG00000034859	snoRNA	RF00402
ENSMFAG00000034904	protein_coding	NPHS2
ENSMFAG00000035064	misc_RNA	RF00019
ENSMFAG00000035240	misc_RNA	RF00100
ENSMFAG00000035297	misc_RNA	RF00100
ENSMFAG00000035314	misc_RNA	RF00019
ENSMFAG00000035358	protein_coding	COP1
ENSMFAG00000035372	protein_coding	DNM3
ENSMFAG00000035390	protein_coding	FAM129A
ENSMFAG00000035416	protein_coding	DDX59
ENSMFAG00000035433	protein_coding	ZNF496
ENSMFAG00000035487	protein_coding	MAP10
ENSMFAG00000035513	protein_coding	
ENSMFAG00000035700	protein_coding	RGS8
ENSMFAG00000035708	protein_coding	CFHR4
ENSMFAG00000035817	protein_coding	TRIM67
ENSMFAG00000036014	misc_RNA	RF00019
ENSMFAG00000036068	protein_coding	SELP
ENSMFAG00000036354	protein_coding	ACBD6
ENSMFAG00000036372	protein_coding	
ENSMFAG00000036373	protein_coding	NR5A2
ENSMFAG00000036375	protein_coding	NCF2
ENSMFAG00000036425	protein_coding	FAM20B
ENSMFAG00000036473	rRNA	RF00001
ENSMFAG00000036483	snRNA	RF00026
ENSMFAG00000036536	protein_coding	
ENSMFAG00000036550	protein_coding	BRINP2
ENSMFAG00000036564	protein_coding	ABL2
